215 :{ 17915 , 79 }
216 :{ 17995 , 80 }
217 :{ 18076 , 82 }
218 :{ 18159 , 93 }
219 :{ 18253 , 91 }
220 :{ 18345 , 89 }
221 :{ 18435 , 93 }
222 :{ 18529 , 79 }
223 :{ 18609 , 79 }
224 :{ 18689 , 82 }
225 :{ 18772 , 93 }
226 :{ 18866 , 87 }
227 :{ 18954 , 85 }
228 :{ 19040 , 77 }
229 :{ 19118 , 76 }
230 :{ 19195 , 90 }
231 :{ 19286 , 94 }
232 :{ 19381 , 88 }
233 :{ 19470 , 68 }
234 :{ 19539 , 86 }
235 :{ 19626 , 83 }
236 :{ 19710 , 90 }
237 :{ 19801 , 92 }
238 :{ 19894 , 92 }
239 :{ 19987 , 93 }
240 :{ 20081 , 87 }
241 :{ 20169 , 92 }
242 :{ 20262 , 82 }
243 :{ 20345 , 81 }
244 :{ 20427 , 82 }
245 :{ 20510 , 90 }
246 :{ 20601 , 80 }
247 :{ 20682 , 90 }
248 :{ 20773 , 87 }
249 :{ 20861 , 84 }
250 :{ 20946 , 83 }
251 :{ 21030 , 87 }
252 :{ 21118 , 87 }
253 :{ 21206 , 71 }
254 :{ 21278 , 86 }
255 :{ 21365 , 80 }
256 :{ 21446 , 87 }
257 :{ 21534 , 80 }
258 :{ 21615 , 83 }
259 :{ 21699 , 90 }
260 :{ 21790 , 86 }
261 :{ 21877 , 89 }
262 :{ 21967 , 88 }
263 :{ 22056 , 93 }
264 :{ 22150 , 75 }
265 :{ 22226 , 80 }
266 :{ 22307 , 87 }
267 :{ 22395 , 92 }
268 :{ 22488 , 85 }
269 :{ 22574 , 89 }
270 :{ 22664 , 84 }
271 :{ 22749 , 85 }
272 :{ 22835 , 83 }
273 :{ 22919 , 82 }
274 :{ 23002 , 84 }
275 :{ 23087 , 83 }
276 :{ 23171 , 90 }
277 :{ 23262 , 80 }
278 :{ 23343 , 86 }
279 :{ 23430 , 92 }
280 :{ 23523 , 76 }
281 :{ 23600 , 88 }
282 :{ 23689 , 82 }
283 :{ 23772 , 78 }
284 :{ 23851 , 83 }
285 :{ 23935 , 76 }
286 :{ 24012 , 87 }
287 :{ 24100 , 88 }
288 :{ 24189 , 91 }
289 :{ 24281 , 90 }
290 :{ 24372 , 89 }
291 :{ 24462 , 86 }
292 :{ 24549 , 93 }
293 :{ 24643 , 88 }
294 :{ 24732 , 85 }
295 :{ 24818 , 82 }
296 :{ 24901 , 90 }
297 :{ 24992 , 86 }
298 :{ 25079 , 90 }
299 :{ 25170 , 91 }
300 :{ 25262 , 74 }
301 :{ 25337 , 85 }
302 :{ 25423 , 78 }
303 :{ 25502 , 84 }
304 :{ 25587 , 75 }
305 :{ 25663 , 82 }
306 :{ 25746 , 86 }
307 :{ 25833 , 79 }
308 :{ 25913 , 88 }
309 :{ 26002 , 84 }
310 :{ 26087 , 81 }
311 :{ 26169 , 90 }
312 :{ 26260 , 88 }
